year,data_type,source_index,destination,value
20182019,depot_location,0,,
20182019,depot_location,1,,
20182019,depot_location,2,,
20182019,depot_location,3,,
20182019,depot_location,4,,
20182019,depot_location,5,,
20182019,depot_location,6,,
20182019,depot_location,7,,
20182019,depot_location,8,,
20182019,depot_location,9,,
20182019,depot_location,10,,
20182019,depot_location,11,,
20182019,depot_location,12,,
20182019,depot_location,13,,
20182019,depot_location,14,,
20182019,depot_location,15,,
20182019,depot_location,16,,
20182019,depot_location,17,,
20182019,depot_location,18,,
20182019,depot_location,19,,
20182019,refinery_location,0,,
20182019,refinery_location,9,,
20182019,refinery_location,11,,
20182019,refinery_location,18,,
20182019,refinery_location,19,,
2018,biomass_forecast,0,,7.483669879450526
2018,biomass_forecast,1,,47.51939166869889
2018,biomass_forecast,2,,57.07137690716811
2018,biomass_forecast,3,,74.98941738348834
2018,biomass_forecast,4,,17.522164002882427
2018,biomass_forecast,5,,24.960395699118926
2018,biomass_forecast,6,,39.769998105759264
2018,biomass_forecast,7,,70.31257617134123
2018,biomass_forecast,8,,33.427706857434
2018,biomass_forecast,9,,39.99677454477027
2018,biomass_forecast,10,,8.017905166039405
2018,biomass_forecast,11,,4.3061750212930505
2018,biomass_forecast,12,,3.4955329151362897
2018,biomass_forecast,13,,0.1958889226375075
2018,biomass_forecast,14,,0.4246120772760073
2018,biomass_forecast,15,,31.45801241658194
2018,biomass_forecast,16,,107.7777630352413
2018,biomass_forecast,17,,132.08694418449545
2018,biomass_forecast,18,,123.68560449101244
2018,biomass_forecast,19,,64.3069980790025
2018,biomass_demand_supply,0,0.0,7.48
2018,biomass_demand_supply,0,1.0,0.0
2018,biomass_demand_supply,0,2.0,0.0
2018,biomass_demand_supply,0,3.0,0.0
2018,biomass_demand_supply,0,4.0,0.0
2018,biomass_demand_supply,0,5.0,0.0
2018,biomass_demand_supply,0,6.0,0.0
2018,biomass_demand_supply,0,7.0,0.0
2018,biomass_demand_supply,0,8.0,0.0
2018,biomass_demand_supply,0,9.0,0.0
2018,biomass_demand_supply,0,10.0,0.0
2018,biomass_demand_supply,0,11.0,0.0
2018,biomass_demand_supply,0,12.0,0.0
2018,biomass_demand_supply,0,13.0,0.0
2018,biomass_demand_supply,0,14.0,0.0
2018,biomass_demand_supply,0,15.0,0.0
2018,biomass_demand_supply,0,16.0,0.0
2018,biomass_demand_supply,0,17.0,0.0
2018,biomass_demand_supply,0,18.0,0.0
2018,biomass_demand_supply,0,19.0,0.0
2018,biomass_demand_supply,1,0.0,47.51999999999989
2018,biomass_demand_supply,1,1.0,0.0
2018,biomass_demand_supply,1,2.0,0.0
2018,biomass_demand_supply,1,3.0,0.0
2018,biomass_demand_supply,1,4.0,0.0
2018,biomass_demand_supply,1,5.0,0.0
2018,biomass_demand_supply,1,6.0,0.0
2018,biomass_demand_supply,1,7.0,0.0
2018,biomass_demand_supply,1,8.0,0.0
2018,biomass_demand_supply,1,9.0,0.0
2018,biomass_demand_supply,1,10.0,0.0
2018,biomass_demand_supply,1,11.0,0.0
2018,biomass_demand_supply,1,12.0,0.0
2018,biomass_demand_supply,1,13.0,0.0
2018,biomass_demand_supply,1,14.0,0.0
2018,biomass_demand_supply,1,15.0,0.0
2018,biomass_demand_supply,1,16.0,0.0
2018,biomass_demand_supply,1,17.0,0.0
2018,biomass_demand_supply,1,18.0,0.0
2018,biomass_demand_supply,1,19.0,0.0
2018,biomass_demand_supply,2,0.0,57.07
2018,biomass_demand_supply,2,1.0,0.0
2018,biomass_demand_supply,2,2.0,0.0
2018,biomass_demand_supply,2,3.0,0.0
2018,biomass_demand_supply,2,4.0,0.0
2018,biomass_demand_supply,2,5.0,0.0
2018,biomass_demand_supply,2,6.0,0.0
2018,biomass_demand_supply,2,7.0,0.0
2018,biomass_demand_supply,2,8.0,0.0
2018,biomass_demand_supply,2,9.0,0.0
2018,biomass_demand_supply,2,10.0,0.0
2018,biomass_demand_supply,2,11.0,0.0
2018,biomass_demand_supply,2,12.0,0.0
2018,biomass_demand_supply,2,13.0,0.0
2018,biomass_demand_supply,2,14.0,0.0
2018,biomass_demand_supply,2,15.0,0.0
2018,biomass_demand_supply,2,16.0,0.0
2018,biomass_demand_supply,2,17.0,0.0
2018,biomass_demand_supply,2,18.0,0.0
2018,biomass_demand_supply,2,19.0,0.0
2018,biomass_demand_supply,3,0.0,74.99
2018,biomass_demand_supply,3,1.0,0.0
2018,biomass_demand_supply,3,2.0,0.0
2018,biomass_demand_supply,3,3.0,0.0
2018,biomass_demand_supply,3,4.0,0.0
2018,biomass_demand_supply,3,5.0,0.0
2018,biomass_demand_supply,3,6.0,0.0
2018,biomass_demand_supply,3,7.0,0.0
2018,biomass_demand_supply,3,8.0,0.0
2018,biomass_demand_supply,3,9.0,0.0
2018,biomass_demand_supply,3,10.0,0.0
2018,biomass_demand_supply,3,11.0,0.0
2018,biomass_demand_supply,3,12.0,0.0
2018,biomass_demand_supply,3,13.0,0.0
2018,biomass_demand_supply,3,14.0,0.0
2018,biomass_demand_supply,3,15.0,0.0
2018,biomass_demand_supply,3,16.0,0.0
2018,biomass_demand_supply,3,17.0,0.0
2018,biomass_demand_supply,3,18.0,0.0
2018,biomass_demand_supply,3,19.0,0.0
2018,biomass_demand_supply,4,0.0,17.52
2018,biomass_demand_supply,4,1.0,0.0
2018,biomass_demand_supply,4,2.0,0.0
2018,biomass_demand_supply,4,3.0,0.0
2018,biomass_demand_supply,4,4.0,0.0
2018,biomass_demand_supply,4,5.0,0.0
2018,biomass_demand_supply,4,6.0,0.0
2018,biomass_demand_supply,4,7.0,0.0
2018,biomass_demand_supply,4,8.0,0.0
2018,biomass_demand_supply,4,9.0,0.0
2018,biomass_demand_supply,4,10.0,0.0
2018,biomass_demand_supply,4,11.0,0.0
2018,biomass_demand_supply,4,12.0,0.0
2018,biomass_demand_supply,4,13.0,0.0
2018,biomass_demand_supply,4,14.0,0.0
2018,biomass_demand_supply,4,15.0,0.0
2018,biomass_demand_supply,4,16.0,0.0
2018,biomass_demand_supply,4,17.0,0.0
2018,biomass_demand_supply,4,18.0,0.0
2018,biomass_demand_supply,4,19.0,0.0
2018,biomass_demand_supply,5,0.0,24.96
2018,biomass_demand_supply,5,1.0,0.0
2018,biomass_demand_supply,5,2.0,0.0
2018,biomass_demand_supply,5,3.0,0.0
2018,biomass_demand_supply,5,4.0,0.0
2018,biomass_demand_supply,5,5.0,0.0
2018,biomass_demand_supply,5,6.0,0.0
2018,biomass_demand_supply,5,7.0,0.0
2018,biomass_demand_supply,5,8.0,0.0
2018,biomass_demand_supply,5,9.0,0.0
2018,biomass_demand_supply,5,10.0,0.0
2018,biomass_demand_supply,5,11.0,0.0
2018,biomass_demand_supply,5,12.0,0.0
2018,biomass_demand_supply,5,13.0,0.0
2018,biomass_demand_supply,5,14.0,0.0
2018,biomass_demand_supply,5,15.0,0.0
2018,biomass_demand_supply,5,16.0,0.0
2018,biomass_demand_supply,5,17.0,0.0
2018,biomass_demand_supply,5,18.0,0.0
2018,biomass_demand_supply,5,19.0,0.0
2018,biomass_demand_supply,6,0.0,39.77
2018,biomass_demand_supply,6,1.0,0.0
2018,biomass_demand_supply,6,2.0,0.0
2018,biomass_demand_supply,6,3.0,0.0
2018,biomass_demand_supply,6,4.0,0.0
2018,biomass_demand_supply,6,5.0,0.0
