0,0,24.66818,71.33144,8.475744,8.868568,9.202181,6.023070,10.788374,6.647325,7.387925,5.180296,7.483670,5.837380,NaN
1,1,24.66818,71.41106,24.029778,28.551348,25.866415,21.634459,34.419411,27.361908,40.431847,42.126945,47.519392,-5.522590,NaN
2,2,24.66818,71.49069,44.831635,66.111168,56.982258,53.003735,70.917908,42.517117,59.181629,73.203232,57.071377,23.667258,NaN
3,3,24.66818,71.57031,59.974419,80.821304,78.956543,63.160561,93.513924,70.203171,74.536720,101.067352,74.989417,31.017123,NaN
4,4,24.66818,71.64994,14.653370,19.327524,21.928144,17.899586,19.534035,19.165791,16.531315,26.086885,17.522164,8.424259,NaN
5,5,24.66818,71.72956,17.416639,35.811001,26.003826,27.348482,29.599268,22.026114,23.592617,41.749001,24.960396,18.186188,NaN
6,6,24.66818,71.80919,23.568657,37.371216,38.298550,27.838022,40.779961,32.014874,37.771797,55.003929,39.769998,-4.166629,NaN
7,7,24.66818,71.88882,48.345234,91.215836,91.906342,41.121754,57.266411,60.263412,72.291153,29.411613,70.312576,8.852696,NaN
8,8,24.66818,71.96844,58.784283,50.206898,60.707321,37.598999,59.462139,38.788315,31.312796,37.497009,33.427707,15.329925,NaN
9,9,24.66818,72.04807,67.907379,68.375999,87.026680,54.602242,78.118126,44.796188,36.008152,52.549976,39.996775,22.120252,NaN
10,10,24.66818,72.12769,8.916524,16.679886,21.618805,13.550439,15.403367,7.133225,7.732000,9.861409,8.017905,1.993793,NaN
11,11,24.66818,72.20732,3.416374,2.891346,3.826416,3.098782,6.333014,4.840425,4.729421,7.909709,4.306175,2.896168,NaN
12,12,24.66818,72.28694,2.298106,2.165051,1.780242,2.644897,5.368379,4.423479,4.019220,7.005911,3.495533,2.052347,NaN
13,13,24.66818,72.36657,0.405264,0.146914,0.168368,0.251683,0.180468,0.131804,0.170856,0.177587,0.195889,-0.052611,NaN
14,14,24.58758,71.25181,0.378064,1.557208,0.267738,0.703204,0.319150,0.268468,0.407948,0.952279,0.424612,0.609925,NaN
15,15,24.58758,71.33144,45.174110,67.934845,58.226315,35.267220,55.589840,34.768570,29.412724,26.509066,31.458012,7.614439,NaN
16,16,24.58758,71.41106,56.539742,83.333382,81.218788,59.407043,85.440163,78.999176,94.716049,85.237656,107.777763,-13.401585,NaN
17,17,24.58758,71.49069,139.388947,161.756607,149.984787,132.148621,205.142639,130.579208,128.607407,153.976090,132.086944,43.472297,NaN
18,18,24.58758,71.57031,140.025986,143.676621,105.671814,105.944908,175.587204,114.893639,119.686356,167.433884,123.685604,56.035655,NaN
19,19,24.58758,71.64994,51.762608,91.464401,90.009483,58.497116,83.193336,64.630905,60.418457,89.419334,64.306998,32.338831,NaN
20,20,24.58758,71.72956,61.177296,133.011505,81.568779,79.951157,116.428917,78.079147,82.893234,127.060349,87.005159,59.493428,NaN
21,21,24.58758,71.80919,84.544685,124.847893,101.586182,89.922813,140.854629,96.987076,90.877533,126.283836,96.437397,43.828103,NaN
22,22,24.58758,71.88882,99.173614,159.491440,106.477493,91.885712,130.869339,106.966927,116.899628,101.823853,116.024467,19.392395,NaN
23,23,24.58758,71.96844,150.232864,181.624817,151.196655,113.543976,160.263733,107.762024,109.992523,111.148941,127.194045,-10.928569,NaN
24,24,24.58758,72.04807,144.610519,175.147552,146.993362,116.319305,180.738464,121.238525,87.780251,111.816162,99.081061,31.908168,NaN
25,25,24.58758,72.12769,45.699669,68.101349,68.459488,46.839901,58.868286,57.550209,77.210495,86.271019,70.114978,20.962540,NaN
26,26,24.58758,72.20732,24.976904,55.407978,63.781166,37.295940,47.148422,37.480827,42.754986,44.648521,50.263130,-5.737359,NaN
27,27,24.58758,72.28694,19.923233,43.962185,30.960709,28.957541,42.316769,34.808914,27.095720,41.319397,31.049203,17.089647,NaN
28,28,24.58758,72.36657,6.596181,9.022957,3.975337,4.651711,5.451403,4.558711,3.248904,4.003597,3.769839,1.473490,NaN
29,29,24.50698,71.25181,0.148983,0.442252,0.175578,0.224423,0.201872,0.198033,0.316812,0.241195,0.258780,0.145549,NaN
30,30,24.50698,71.33144,33.448845,35.713680,32.151405,26.319201,40.711945,27.709183,25.035532,29.898689,26.064289,7.855131,NaN
31,31,24.50698,71.41106,65.621216,122.101715,129.081757,68.217339,98.816093,84.300964,87.564110,100.901009,99.649673,-14.006955,NaN
32,32,24.50698,71.49069,121.033234,177.738617,170.079651,111.813431,164.977264,118.140984,150.813324,134.183136,146.685540,27.574104,NaN
33,33,24.50698,71.57031,117.294601,127.353867,130.973663,104.645004,144.293060,108.879837,132.354019,163.172058,128.785542,42.573851,NaN
34,34,24.50698,71.64994,121.548531,161.664505,166.555160,101.893608,143.053207,87.454659,117.115372,134.410141,112.948524,41.781010,NaN
35,35,24.50698,71.72956,102.311371,169.771042,160.117645,89.577148,140.050858,92.186699,98.371178,112.173935,100.158304,38.335637,NaN
36,36,24.50698,71.80919,136.376160,153.392029,148.276291,142.354172,203.733734,169.927414,166.275314,155.494629,166.322253,3.130086,NaN
37,37,24.50698,71.88882,141.901138,184.534943,135.400940,137.305511,186.347488,123.876312,131.478867,174.498520,135.846584,39.486915,NaN
38,38,24.50698,71.96844,77.370735,107.550575,83.134995,83.855209,105.541718,76.527863,102.071938,112.546516,98.074997,26.859350,NaN
