,Index,Latitude,Longitude,2018,2019,cluster,x_loc,y_loc,centroid_dist
0,0,24.66818,71.33144,7.483669879450526,5.837379894273099,124,71.34139,24.577505,10.13582250173581
1,1,24.66818,71.41106,47.51939166869889,-5.522589680620136,124,71.34139,24.577505,12.302474759808463
2,14,24.58758,71.25181,0.4246120772760073,0.6099248777314877,124,71.34139,24.577505,9.129900090205116
3,15,24.58758,71.33144,31.45801241658194,7.614438959658099,124,71.34139,24.577505,1.5062295383980846
4,16,24.58758,71.41106,107.7777630352413,-13.40158508599923,124,71.34139,24.577505,7.135548786718565
5,29,24.50698,71.25181,0.2587795170416655,0.145548750186772,124,71.34139,24.577505,11.986991054437459
6,30,24.50698,71.33144,26.06428933638657,7.855130901719853,124,71.34139,24.577505,7.908822441645838
7,31,24.50698,71.41106,99.64967343142824,-14.006954843804792,124,71.34139,24.577505,10.546472345335673
8,2,24.66818,71.49069,57.07137690716811,23.667257585078488,222,71.56036,24.597655,10.543062281246335
9,3,24.66818,71.57031,74.98941738348834,31.01712259272199,222,71.56036,24.597655,7.908729706412523
10,4,24.66818,71.64994,17.522164002882427,8.424258780193279,222,71.56036,24.597655,11.982030733855362
11,17,24.58758,71.49069,132.08694418449545,43.47229672419411,222,71.56036,24.597655,7.134988839921322
12,18,24.58758,71.57031,123.68560449101244,56.03565455422648,222,71.56036,24.597655,1.5061754345381386
13,19,24.58758,71.64994,64.3069980790025,32.338830645553955,222,71.56036,24.597655,9.129176589755328
14,32,24.50698,71.49069,146.68554021164013,27.574103762911268,222,71.56036,24.597655,12.3047478811157
15,33,24.50698,71.57031,128.7855420105671,42.57385141970119,222,71.56036,24.597655,10.135878781143715
16,5,24.66818,71.72956,24.960395699118926,18.186187911562147,59,71.81803666666667,24.60549111111111,11.341991920140838
17,6,24.66818,71.80919,39.769998105759264,-4.166629139625897,59,71.81803666666667,24.60549111111111,7.030006979107276
18,7,24.66818,71.88882,70.31257617134123,8.852696447549114,59,71.81803666666667,24.60549111111111,9.991824038749048
19,8,24.66818,71.96844,33.427706857434,15.329925385399209,59,71.81803666666667,24.60549111111111,16.72891695585114
20,20,24.58758,71.72956,87.00515880286532,59.4934275950787,59,71.81803666666667,24.60549111111111,9.16735865586916
21,21,24.58758,71.80919,96.43739700190204,43.82810281483023,59,71.81803666666667,24.60549111111111,2.1839397334651016
22,22,24.58758,71.88882,116.02446738905071,19.392395133198047,59,71.81803666666667,24.60549111111111,7.430858334183096
23,35,24.50698,71.72956,100.15830434084428,38.33563744241543,59,71.81803666666667,24.60549111111111,14.148744106998944
24,36,24.50698,71.80919,166.32225308314432,3.1300860355036075,59,71.81803666666667,24.60549111111111,10.993866609543007
25,9,24.66818,72.04807,39.99677454477027,22.120251508446348,8,72.18560181818182,24.609561818181817,15.357611528239593
26,10,24.66818,72.12769,8.017905166039405,1.9937926360855889,8,72.18560181818182,24.609561818181817,8.763167993094706
27,11,24.66818,72.20732,4.3061750212930505,2.896167597662892,8,72.18560181818182,24.609561818181817,6.879896565515209
28,12,24.66818,72.28694,3.4955329151362897,2.0523474528186805,8,72.18560181818182,24.609561818181817,12.144267430619372
29,13,24.66818,72.36657,0.1958889226375075,-0.0526112156556928,8,72.18560181818182,24.609561818181817,19.423413725067107
